"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Tue Mar 03 06:03:12 UTC 2026","passed","Tue Mar 03 06:03:12 UTC 2026","Get entity","Users","",""
"","300","Create course","LMS service","Tue Mar 03 06:03:04 UTC 2026","passed","Tue Mar 03 06:03:04 UTC 2026","Create entity","Courses","",""
"","533","Create user","LMS service","Tue Mar 03 06:03:11 UTC 2026","passed","Tue Mar 03 06:03:11 UTC 2026","Create entity","Users","",""
"","15","Get file","LMS service","Tue Mar 03 06:03:09 UTC 2026","passed","Tue Mar 03 06:03:09 UTC 2026","Get entity","Files","",""
"","287","Login with correct email and password","LMS service","Tue Mar 03 06:03:03 UTC 2026","passed","Tue Mar 03 06:03:03 UTC 2026","Login","Authentication","",""
"","310","Update course","LMS service","Tue Mar 03 06:03:05 UTC 2026","passed","Tue Mar 03 06:03:05 UTC 2026","Update entity","Courses","",""
"","295","Create user","LMS service","Tue Mar 03 06:03:11 UTC 2026","passed","Tue Mar 03 06:03:12 UTC 2026","Create entity","Users","",""
"","26","Delete file","LMS service","Tue Mar 03 06:03:11 UTC 2026","passed","Tue Mar 03 06:03:11 UTC 2026","Delete entity","Files","",""
"","307","Get exercises","LMS service","Tue Mar 03 06:03:07 UTC 2026","passed","Tue Mar 03 06:03:08 UTC 2026","Get entities","Exercises","",""
"","24","Create exercise","LMS service","Tue Mar 03 06:03:05 UTC 2026","passed","Tue Mar 03 06:03:05 UTC 2026","Create entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Tue Mar 03 06:03:09 UTC 2026","passed","Tue Mar 03 06:03:10 UTC 2026","Validate entity","Files","",""
"","289","Delete exercise","LMS service","Tue Mar 03 06:03:07 UTC 2026","passed","Tue Mar 03 06:03:07 UTC 2026","Delete entity","Exercises","",""
"","300","Get courses","LMS service","Tue Mar 03 06:03:03 UTC 2026","passed","Tue Mar 03 06:03:04 UTC 2026","Get entities","Courses","",""
"","262","Create file","LMS service","Tue Mar 03 06:03:08 UTC 2026","passed","Tue Mar 03 06:03:08 UTC 2026","Create entity","Files","",""
"","25","Get exercise","LMS service","Tue Mar 03 06:03:06 UTC 2026","passed","Tue Mar 03 06:03:06 UTC 2026","Get entity","Exercises","",""
"","294","Update exercise","LMS service","Tue Mar 03 06:03:06 UTC 2026","passed","Tue Mar 03 06:03:06 UTC 2026","Update entity","Exercises","",""
"","569","Create user","LMS service","Tue Mar 03 06:03:11 UTC 2026","passed","Tue Mar 03 06:03:12 UTC 2026","Create entity","Users","",""
"","265","Create file with empty directory","LMS service","Tue Mar 03 06:03:10 UTC 2026","passed","Tue Mar 03 06:03:10 UTC 2026","Validate entity","Files","",""
"","276","Get file with incorrect file id","LMS service","Tue Mar 03 06:03:11 UTC 2026","passed","Tue Mar 03 06:03:11 UTC 2026","Validate entity","Files","",""
