"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","553","Create user","LMS service","Sun Mar 01 10:00:54 UTC 2026","passed","Sun Mar 01 10:00:54 UTC 2026","Create entity","Users","",""
"","288","Update exercise","LMS service","Sun Mar 01 10:00:48 UTC 2026","passed","Sun Mar 01 10:00:49 UTC 2026","Update entity","Exercises","",""
"","268","Create file","LMS service","Sun Mar 01 10:00:51 UTC 2026","passed","Sun Mar 01 10:00:51 UTC 2026","Create entity","Files","",""
"","12","Get user me","LMS service","Sun Mar 01 10:00:55 UTC 2026","passed","Sun Mar 01 10:00:55 UTC 2026","Get entity","Users","",""
"","14","Get file","LMS service","Sun Mar 01 10:00:51 UTC 2026","passed","Sun Mar 01 10:00:51 UTC 2026","Get entity","Files","",""
"","293","Create exercise","LMS service","Sun Mar 01 10:00:48 UTC 2026","passed","Sun Mar 01 10:00:48 UTC 2026","Create entity","Exercises","",""
"","268","Create file with empty filename","LMS service","Sun Mar 01 10:00:52 UTC 2026","passed","Sun Mar 01 10:00:52 UTC 2026","Validate entity","Files","",""
"","555","Login with correct email and password","LMS service","Sun Mar 01 10:00:45 UTC 2026","passed","Sun Mar 01 10:00:46 UTC 2026","Login","Authentication","",""
"","526","Create user","LMS service","Sun Mar 01 10:00:53 UTC 2026","passed","Sun Mar 01 10:00:54 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Sun Mar 01 10:00:47 UTC 2026","passed","Sun Mar 01 10:00:47 UTC 2026","Create entity","Courses","",""
"","21","Get exercises","LMS service","Sun Mar 01 10:00:50 UTC 2026","passed","Sun Mar 01 10:00:50 UTC 2026","Get entities","Exercises","",""
"","289","Create user","LMS service","Sun Mar 01 10:00:54 UTC 2026","passed","Sun Mar 01 10:00:54 UTC 2026","Create entity","Users","",""
"","33","Get courses","LMS service","Sun Mar 01 10:00:46 UTC 2026","passed","Sun Mar 01 10:00:46 UTC 2026","Get entities","Courses","",""
"","292","Delete exercise","LMS service","Sun Mar 01 10:00:50 UTC 2026","passed","Sun Mar 01 10:00:50 UTC 2026","Delete entity","Exercises","",""
"","267","Create file with empty directory","LMS service","Sun Mar 01 10:00:52 UTC 2026","passed","Sun Mar 01 10:00:53 UTC 2026","Validate entity","Files","",""
"","26","Delete file","LMS service","Sun Mar 01 10:00:53 UTC 2026","passed","Sun Mar 01 10:00:53 UTC 2026","Delete entity","Files","",""
"","261","Get file with incorrect file id","LMS service","Sun Mar 01 10:00:54 UTC 2026","passed","Sun Mar 01 10:00:54 UTC 2026","Validate entity","Files","",""
"","301","Update course","LMS service","Sun Mar 01 10:00:47 UTC 2026","passed","Sun Mar 01 10:00:47 UTC 2026","Update entity","Courses","",""
"","21","Get exercise","LMS service","Sun Mar 01 10:00:49 UTC 2026","passed","Sun Mar 01 10:00:49 UTC 2026","Get entity","Exercises","",""
